barcode;name;brand;category;reference;arcor_code;arcor_desc;confidence
7790580501204;BATATA VAIN.CAJON x 5Kg.;ARCOR;ALIMENTOS;5012;1005012;DULCE BATATA ARCOR CAJÓN 5 Kg.;alta
7790580501105;BATATA c/CH.CAJON x 5Kg.;ARCOR;ALIMENTOS;5011;1005011;DULCE BATATA ARCOR CON CHOCOLATE CAJÓN 5 Kg.;alta
;BAÑO REPOST. BLANCO POUCH x150g.;ARCOR;;13333;;;sin-match
;BAÑO REPOST. CELESTE POUCH x150g.;ARCOR;;13436;;;sin-match
;BAÑO REPOST. LECHE POUCH x150g.;ARCOR;;13331;;;sin-match
;BAÑO REPOST. ROSA POUCH x150g;ARCOR;;13435;;;sin-match
;BAÑO REPOST. S/AMA POUCH x150g.;ARCOR;;13332;;;sin-match
7790580127725;BAÑOS DE REPOSTERÍA COLOR CELESTE SABOR VAINILLA 8 X 6 X 150 Gr.;ARCOR;CHOCOLATES;1012772;1012772;BAÑOS DE REPOSTERÍA COLOR CELESTE SABOR VAINILLA 8 X 6 X 150 Gr.;arcor-catalog
7790580125547;BAÑOS DE REPOSTERÍA COLOR ROSA SABOR FRUTILLA 8 X 6 X 150 Gr.;ARCOR;CHOCOLATES;1012554;1012554;BAÑOS DE REPOSTERÍA COLOR ROSA SABOR FRUTILLA 8 X 6 X 150 Gr.;arcor-catalog
;BC MERM FRUTOS ROJOS x390g.;ARCOR;;14897;;;sin-match
7790580626600;BIZCOCHUELOS GODET CHOCOLATE 12 X 480 Gr.;ARCOR;ALIMENTOS;1006266;1006266;BIZCOCHUELOS GODET CHOCOLATE 12 X 480 Gr.;arcor-catalog
7790580236519;BIZCOCHUELOS GODET MARMOLADO 12 X 500 Gr.;ARCOR;ALIMENTOS;1006265;1006265;BIZCOCHUELOS GODET MARMOLADO 12 X 500 Gr.;arcor-catalog
7790580626419;BIZCOCHUELOS GODET VAINILLA 12 X 480 Gr.;ARCOR;ALIMENTOS;1006264;1006264;BIZCOCHUELOS GODET VAINILLA 12 X 480 Gr.;arcor-catalog
7790580219000;BOC. CABSHA ACRILICOx18u.;ARCOR;CHOCOLATES;2190;1002190;BOCADITOS CABSHA BOCADITO CABSHA 48 X 18 X 10 Gr.;alta
;BOCADITO CABSHA 48u.x10Gr.;ARCOR;;2201;;;sin-match
7790580104207;BOCADITO HOLANDA x50u.;ARCOR;GOLOSINAS;1042;1001042;LECHE ARCOR HOLANDA 24 x 50 Gr.;alta
7790580107987;BOCADITOS AGUILA BOCADITO MENTA 24 X 15 X 14 Gr.;ARCOR;CHOCOLATES;1010798;1010798;BOCADITOS AGUILA BOCADITO MENTA 24 X 15 X 14 Gr.;arcor-catalog
7790580219000;BOCADITOS CABSHA BOCADITO CABSHA 48 X 18 X 10 Gr.;ARCOR;CHOCOLATES;1002190;1002190;BOCADITOS CABSHA BOCADITO CABSHA 48 X 18 X 10 Gr.;arcor-catalog
7790580106935;BOMBON DE FRUTA X 500gr;ARCOR;GOLOSINAS;10693;1010693;MOGUL GRANEL BOMBÓN DE FRUTA 12 x 500 Gr.;alta
;BOMBON DE FRUTA x80g.;ARCOR;;14872;;;sin-match
7790580722708;BOMBON TOFI LECHE 32x15Gr;ARCOR;CHOCOLATES;7227;1007227;BOMBONES TOFI TOFI LECHE 12 X 32 X 15 Gr.;alta
7790580105242;BOMBONES COFLER BLOCK 15 X 20 X 18 Gr.;ARCOR;CHOCOLATES;1010820;1010820;BOMBONES COFLER BLOCK 15 X 20 X 18 Gr.;arcor-catalog
7790580722708;BOMBONES TOFI TOFI LECHE 12 X 32 X 15 Gr.;ARCOR;CHOCOLATES;1007227;1007227;BOMBONES TOFI TOFI LECHE 12 X 32 X 15 Gr.;arcor-catalog
7790580111243;BOMBONES Y BOCADITOS BON O BON CITOS 12 X 180 Cc.;ARCOR;HELADOS;1011124;1011124;BOMBONES Y BOCADITOS BON O BON CITOS 12 X 180 Cc.;arcor-catalog
7790580108366;BOMBONES Y BOCADITOS COFLER CITOS AMERICANA 12 X 200 Cc.;ARCOR;HELADOS;1010836;1010836;BOMBONES Y BOCADITOS COFLER CITOS AMERICANA 12 X 200 Cc.;arcor-catalog
7790580109479;BOMBONES Y BOCADITOS COFLER CITOS DULCE DE LECHE 12 X 200 Cc.;ARCOR;HELADOS;1010947;1010947;BOMBONES Y BOCADITOS COFLER CITOS DULCE DE LECHE 12 X 200 Cc.;arcor-catalog
7790580102517;BON O BON AGUILA 16 X 18 X 15 Gr.;ARCOR;CHOCOLATES;1011921;1011921;BON O BON AGUILA 16 X 18 X 15 Gr.;arcor-catalog
7790580102517;BON O BON AGUILA x18u;ARCOR;CHOCOLATES;11921;1011921;BON O BON AGUILA 16 X 18 X 15 Gr.;alta
7790580119065;BON O BON BCO x 18u;ARCOR;CHOCOLATES;11906;1011906;BON O BON BLANCO 16 X 18 X 15 Gr.;alta
7790580119058;BON O BON BLANCO 12 X 30 X 15 Gr.;ARCOR;CHOCOLATES;1011905;1011905;BON O BON BLANCO 12 X 30 X 15 Gr.;arcor-catalog
7790580119065;BON O BON BLANCO 16 X 18 X 15 Gr.;ARCOR;CHOCOLATES;1011906;1011906;BON O BON BLANCO 16 X 18 X 15 Gr.;arcor-catalog
