barcode;name;brand;category
7790580402808;CACAO EN POLVO ARCOR ARCOA 32 X 180 Gr.;ARCOR;ALIMENTOS
7790580128524;CAR. ARCOR CHERRY x 800gr;ARCOR;GOLOSINAS
7790580344207;CAR. BASTON VIENA x 470 Gr.;ARCOR;GOLOSINAS
7790580102869;CAR. CRISTAL MIX X810G;ARCOR;GOLOSINAS
7790580118358;CAR. FRESH CRISTAL x405g.;ARCOR;GOLOSINAS
7790580470906;CAR. GAJITOS x485g.;ARCOR;GOLOSINAS
7790580118273;CAR. MENTA CHOCOLATE x715g;ARCOR;GOLOSINAS
7790580118341;CAR. MENTA CRISTAL x810g.;ARCOR;GOLOSINAS
7790580118297;CAR. RELL MIEL+MTA x335gr;ARCOR;GOLOSINAS
7790580118280;CAR. RELLENO MIEL x 675g;ARCOR;GOLOSINAS
7790580296506;CAR. RODAJAS CRAZY X465G;ARCOR;GOLOSINAS
7790580214104;CAR. RODAJAS SURT x930G;ARCOR;GOLOSINAS
7790580471309;CAR. SAQ. DE FRUTA x 810 Gr.;ARCOR;GOLOSINAS
7790580607401;CELOFAN BCO.x25Gr.;ARCOR;CHOCOLATES
7790580120399;CELOFAN CACAO 50% X25GR;ARCOR;CHOCOLATES
7790580607203;CELOFAN LECHE x25Gr.;ARCOR;CHOCOLATES
7790580125769;CELOFAN MANI x 25g;ARCOR;CHOCOLATES
7790580128371;CHIC POOSH FRUTILLA x250g;ARCOR;GOLOSINAS
7790580128357;CHIC POOSH TUTTI FRUTTI x 250g;ARCOR;GOLOSINAS
7790580110024;CHOC EXTRA FINO 60% CACAO x 150gr;ARCOR;CHOCOLATES
7790580005825;CHOCOL.TAZA AGUILA x225g.;ARCOR;CHOCOLATES
7790580585617;CHOCOLATE 8 GR. ARCOR BLANCO 20 X 40 X 8 Gr.;ARCOR;CHOCOLATES
7790580585716;CHOCOLATE 8 GR. ARCOR LECHE 20 X 40 X 8 Gr.;ARCOR;CHOCOLATES
7790580322205;CHOCOLATE TAZA GODET CHOCOLATE TAZA 4 X 15 X 100 Gr.;ARCOR;CHOCOLATES
7790580746407;CHOCOLATE TOFI TOFI BLANCO 12 X 25 X 27 Gr.;ARCOR;CHOCOLATES
7790580746704;CHOCOLATE TOFI TOFI BLANCO 8 X 15 X 55 Gr.;ARCOR;CHOCOLATES
7790580746308;CHOCOLATE TOFI TOFI LECHE 12 X 25 X 28 Gr.;ARCOR;CHOCOLATES
7790580746605;CHOCOLATE TOFI TOFI LECHE 8 X 15 X 55 Gr.;ARCOR;CHOCOLATES
7790580119560;CHOCOLITO AGUILA BCO x150g;ARCOR;CHOCOLATES
7790580252809;CHUP.MR. POPS FRUTAL x50 u.;ARCOR;GOLOSINAS
7790580739003;CHUP.TROMPITO x50u.;ARCOR;GOLOSINAS
7790580252908;CHUPETÍN ESFÉRICO ARCOR FRUTAL 24 x 10 Un.;ARCOR;GOLOSINAS
7790580105990;COFLER 3 PLACERES X 55gr;ARCOR;CHOCOLATES
7790580126230;COFLER AGUILA SEMIA. 16 X 63 Gr. (80 Cc.);ARCOR;HELADOS
7790580003470;COFLER AIRE ALMENDRA X 100gr;ARCOR;CHOCOLATES
7790580003432;COFLER AIRE ALMENDRA x55g.;ARCOR;CHOCOLATES
7790580003425;COFLER AIRE BCO/LECH.x55g.;ARCOR;CHOCOLATES
7790580003388;COFLER AIRE BLAN/LECHE X 27g;ARCOR;CHOCOLATES
7790580003371;COFLER AIRE BLANCO  X 27gr;ARCOR;CHOCOLATES
7790580003456;COFLER AIRE BLANCO X 100gr;ARCOR;CHOCOLATES
